診療科,H28対応項目,メモ,H28の記載,項目,検査項目,UID,Unnamed: 3,修正提案(20220302),査読コメント(20220302),チームからの返信（原案どおりなら１、修正案に賛成なら２）,チームからのコメント（あれば）,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,臓器,分類,項目名,H28表記,項目名(202004113)作業用,項目名(20220413),"座長・副座長返答(1.医学教育課の意見を反映,2.原案ママ,3.その他)(20220411)",座長・副座長コメント(20220411),チームからの修正提案(20220317),チームからのコメント(20220317),医学教育課修正案(20220317),医学教育課からのコメント(20220317),項目名(20220302査読直前),削除項目,追加項目,査読への返答,A,B,C,D,E,F,G,H,I,カテゴリ,サブカテゴリ,疾患,修正案(20220318),コメント(20220318),重要(20220318),重複(計算列),重複のため削除する項目に●(20220408),重要度分類(スリム化チーム作業用)(20220330),診断,治療,教育,予防,作成時(20220316コメント),修正案(20220316),パフォーマンス,基本的臨床手技,目標レベル,診察項目,医学教育課修正案(20220327),医学教育課からのコメント(20220327),Unnamed: 7,検査項目(20220302査読直前),Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,主要症候,検討すべき鑑別疾患,錦織
,"D-09-04-01-01,D-09-04-01-02,D-09-04-01-03",,,[別表]疾患,,JlvnmAQ,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,男性生殖器疾患,なし,精巣捻転症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmAU,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,内外生殖器の先天異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmAc,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,卵巣機能障害,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmAg,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,月経異常,月経前症候群,,,●○生坂,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmAo,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,月経異常,機能性月経困難症,,,●,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmAs,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,視床下部性無月経,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmA0,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,更年期障害,,,●○生坂,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmA4,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,不妊症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmBA,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,子宮筋腫・子宮腺筋症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmBE,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,子宮内膜症,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-02-01,D-09-04-02-02,D-09-04-02-03,D-09-04-02-04,D-09-04-02-05,D-09-04-02-06",,,[別表]疾患,,JlvnmBM,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,女性生殖器疾患,なし,外陰・腟と骨盤内感染症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-03-01,D-09-04-03-02",,,[別表]疾患,,JlvnmBU,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍性疾患（男性）,なし,※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-09-04-03-03,D-09-04-03-04,D-09-04-03-05",,,[別表]疾患,,JlvnmBY,,,,,,,,,,,,,,,,,生殖機能,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍性疾患（女性）,なし,※腫瘍の項目を参照,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmBg,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,妊娠悪阻,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmBk,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,異所性妊娠,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmBs,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,流産・切迫流産,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmBw,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,ハイリスク妊娠,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmB4,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,妊娠高血圧症候群,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmCA,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,多胎妊娠,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmCE,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,前期破水、早期破水,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmCM,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,切迫早産,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-01,,,[別表]疾患,,JlvnmCQ,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常妊娠,なし,胎児機能不全,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmCY,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,早産,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmCc,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,微弱陣痛,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmCk,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,遷延分娩,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmCo,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,回旋異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmCw,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,前置胎盤,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmC4,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,癒着胎盤,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmC8,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,常位胎盤早期剥離,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-02,,,[別表]疾患,,JlvnmDE,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常分娩,なし,分娩外傷,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-03,,,[別表]疾患,,JlvnmDI,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常産褥,なし,子宮復古不全,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-03,,,[別表]疾患,,JlvnmDQ,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常産褥,なし,産褥熱,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-03,,,[別表]疾患,,JlvnmDU,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,異常産褥,なし,乳腺炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-04,,,[別表]疾患,,JlvnmDc,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,産科出血,なし,弛緩出血,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-04,,,[別表]疾患,,JlvnmDg,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,産科出血,なし,羊水塞栓症,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-04,,,[別表]疾患,,JlvnmDk,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,産科出血,なし,播種性血管内凝固 <DIC> ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmDo,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,なし,貧血,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmDs,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,なし,耐糖能異常,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmD0,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,なし,甲状腺疾患,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmD8,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,なし,免疫性血小板減少症 <ITP>,,免疫性血小板減少性紫斑病から用語修正（岡崎／小松）,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEA,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,感染症,HBV,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEI,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,感染症,HCV,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEM,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,感染症,HIV,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEU,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,感染症,HTLV-Ⅰ,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEY,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,感染症,パルボウイルスB19,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEg,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,感染症,B群連鎖球菌,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-10-04-na-05,,,[別表]疾患,,JlvnmEk,,,,,,,,,,,,,,,,,妊娠と分娩,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,合併症妊娠,なし,TORCH症候群,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,D-01-04-04-06,,,[別表]疾患,,JlvnmEs,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,血液系,なし,小児白血病・悪性リンパ腫,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,D-01-04-04-06,,,[別表]疾患,,JlvnmE0,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,血液系,なし,ビタミンK欠乏症,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-04-09-01,D-02-04-09-02",,,[別表]疾患,,JlvnmE4,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,神経系,なし,熱性けいれん,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-04-09-01,D-02-04-09-02",,,[別表]疾患,,JlvnmFA,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,神経系,なし,脳性麻痺,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-02-04-09-01,D-02-04-09-02",,,[別表]疾患,,JlvnmFE,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,神経系,なし,水頭症,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFM,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,伝染性膿痂疹　ブドウ球菌性熱傷様皮膚症候群<SSSS>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFQ,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,伝染性軟属腫,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFY,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,麻疹,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFg,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,風疹,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFk,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,水痘,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFs,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,伝染性紅斑,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-03-04-07-01, D-03-04-07-05",,,[別表]疾患,,JlvnmFw,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,皮膚系,なし,手足口病,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,JlvnmF4,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,循環器系,なし,心房中隔欠損症,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,JlvnmF8,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,循環器系,なし,心室中隔欠損症,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,JlvnmGE,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,循環器系,なし,動脈管開存,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,D-05-04-06-01,,,[別表]疾患,,JlvnmGM,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,循環器系,なし,Fallot 四徴症,,,,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-02, D-06-04-02-06、D-06-04-03-03",,,[別表]疾患,,JlvnmGQ,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器系,なし,クループ症候群,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-02, D-06-04-02-06、D-06-04-03-03",,,[別表]疾患,,JlvnmGY,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器系,なし,細気管支炎,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-06-04-02-02, D-06-04-02-06、D-06-04-03-03",,,[別表]疾患,,JlvnmGc,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,呼吸器系,なし,小児気管支喘息,,,●○生坂,,,●,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmGk,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,肥厚性幽門狭窄症,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmGo,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,鎖肛,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmGs,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,Hirschsprung病,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmGw,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,腸重積症,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmG0,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,便秘症,,,●,重複あり,●生坂,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmG8,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,乳児下痢症,,,●,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmHE,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,胆道閉鎖症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-07-04-02-08 , D-07-04-03-09, D-07-04-03-10, D-07-04-03-11, D-07-04-07-03",,,[別表]疾患,,JlvnmHI,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,消化器系,なし,鼠径ヘルニア,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01",,,[別表]疾患,,JlvnmHQ,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎臓,なし,溶血性尿毒症症候群 <HUS>,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01",,,[別表]疾患,,JlvnmHU,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎臓,なし,小児ネフローゼ症候群,,,●,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01",,,[別表]疾患,,JlvnmHc,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎臓,なし,紫斑病性腎炎,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01",,,[別表]疾患,,JlvnmHg,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎臓,なし,先天性腎尿路奇形,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-01-04-02-05, D-08-04-06-05 , D-08-04-07-01",,,[別表]疾患,,JlvnmHo,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腎臓,なし,膀胱尿管逆流,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-12-04-01-05, D-12-04-04-04",,,[別表]疾患,,JlvnmHw,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,内分泌系・代謝,なし,成長ホルモン分泌不全型低身長,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-12-04-01-05, D-12-04-04-04",,,[別表]疾患,,JlvnmH0,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,内分泌系・代謝,なし,先天性副腎皮質過形成,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-12-04-01-05, D-12-04-04-04",,,[別表]疾患,,JlvnmH8,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,内分泌系・代謝,なし,アセトン血性嘔吐症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"E-07-03-na-08, E-07-03-na-05",,,[別表]疾患,,JlvnmIA,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,精神系,神経発達症群,自閉スペクトラム症 <ASD>,,,,,,●,,,,,,,,,,,,,,,,,,,,,,
,"E-07-03-na-08, E-07-03-na-05",,,[別表]疾患,,JlvnmII,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,精神系,なし,注意・欠如多動症 <ADHD>,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"E-07-03-na-08, E-07-03-na-05",,,[別表]疾患,,JlvnmIM,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,精神系,なし,限局性学習症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"E-07-03-na-08, E-07-03-na-05",,,[別表]疾患,,JlvnmIQ,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,精神系,なし,チック症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"E-07-03-na-08, E-07-03-na-05",,,[別表]疾患,,JlvnmIU,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,精神系,なし,小児心身症,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-04-02-01, D-12-04-10-03, E-03-05-na-14",,,[別表]疾患,,JlvnmIc,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍,なし,網膜芽細胞腫,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-04-02-01, D-12-04-10-03, E-03-05-na-14",,,[別表]疾患,,JlvnmIg,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍,なし,神経芽腫,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-04-02-01, D-12-04-10-03, E-03-05-na-14",,,[別表]疾患,,JlvnmIo,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍,なし,腎芽腫,,,,重複あり,,,,,,,,,,,,,,,,,,,,,,,,
,"D-13-04-02-01, D-12-04-10-03, E-03-05-na-14",,,[別表]疾患,,JlvnmIs,,,,,,,,,,,,,,,,,小児,疾患・病態,,,,,,,,,,,,,,,,,,,,,,,,腫瘍,なし,胚芽腫,,,,,,,,,,,,,,,,,,,,,,,,,,,,
